site_id,id,region,epid,measure_id,glz_class,epid_assigned,n_lepi,n_plant,av_reg_dist_lepi_pa,av_reg_dist_plant_pa,sum_troph_int_pa,n_unique_int_pa,connectance_pa,z_score_nest_pa,sum_crops_pa,n_crop_pests_pa,sizemanagementunit_ha,slope,glz,oc_ha,oc_0.25ha,p_ha,optimisation,ecovalue,cost,budget
SEG16,all_scores_ESS50_SEG16,SCH,SEG16,15,3,SEG36,1,0.538461538,0.472222222,0.312169312,0.69047619,0,0.551724138,0.769957214,0.75,0.5,71.5,1.11,38,289.4,72.35,647.41,all_scores_ESS50,4.960010616,72.35,2505
SEG17,all_scores_ESS50_SEG17,SCH,SEG17,7,2,SEG32,0.125,0.461538462,0.472222222,1,0.166666667,0,0.781609195,0.519370347,0,1,28.57,0.68,33,153.67,38.42,558.93,all_scores_ESS50,4.026406893,38.42,2505
SEG19,all_scores_ESS50_SEG19,SCH,SEG19,15,3,SEG36,1,0.538461538,0.472222222,0.312169312,0.69047619,0,0.551724138,0.769957214,0.75,0.5,51.6,0.12,40,311.82,77.96,725.59,all_scores_ESS50,4.960010616,77.96,2505
SEG20,all_scores_ESS50_SEG20,SCH,SEG20,7,2,SEG32,0.125,0.461538462,0.472222222,1,0.166666667,0,0.781609195,0.519370347,0,1,19,0.82,32,153.39,38.35,535.35,all_scores_ESS50,4.026406893,38.35,2505
SEG21,all_scores_ESS50_SEG21,SCH,SEG21,7,2,SEG32,0.125,0.461538462,0.472222222,1,0.166666667,0,0.781609195,0.519370347,0,1,8.3,0.55,32,153.39,38.35,535.35,all_scores_ESS50,4.026406893,38.35,2505
SEG22,all_scores_ESS50_SEG22,SCH,SEG22,10,3,SEG38,0.875,0.692307692,0.373626374,0.269406393,0.714285714,0,0.530172414,1,0.428571429,0.5,33.67,0.26,50,330.29,82.57,788.14,all_scores_ESS50,4.919084301,82.57,2505
SEG23,all_scores_ESS50_SEG23,SCH,SEG23,15,3,SEG36,1,0.538461538,0.472222222,0.312169312,0.69047619,0,0.551724138,0.769957214,0.75,0.5,43.4,0.18,37,278.8,69.7,616.13,all_scores_ESS50,4.960010616,69.7,2505
SEG24,all_scores_ESS50_SEG24,SCH,SEG24,15,3,SEG36,1,0.538461538,0.472222222,0.312169312,0.69047619,0,0.551724138,0.769957214,0.75,0.5,58.69,0.72,37,278.8,69.7,616.13,all_scores_ESS50,4.960010616,69.7,2505
SEG25,all_scores_ESS50_SEG25,SCH,SEG25,15,2,SEG36,1,0.538461538,0.472222222,0.312169312,0.69047619,0,0.551724138,0.769957214,0.75,0.5,8.98,0.98,35,255.32,63.83,553.59,all_scores_ESS50,4.960010616,63.83,2505
SEG26,all_scores_ESS50_SEG26,SCH,SEG26,7,2,SEG32,0.125,0.461538462,0.472222222,1,0.166666667,0,0.781609195,0.519370347,0,1,43.4,0.31,34,187.26,46.81,582.51,all_scores_ESS50,4.026406893,46.81,2505
SEG28,all_scores_ESS50_SEG28,SCH,SEG28,10,3,SEG38,0.875,0.692307692,0.373626374,0.269406393,0.714285714,0,0.530172414,1,0.428571429,0.5,19.9,0.96,48,326.36,81.59,772.5,all_scores_ESS50,4.919084301,81.59,2505
SEG29,all_scores_ESS50_SEG29,SCH,SEG29,10,3,SEG38,0.875,0.692307692,0.373626374,0.269406393,0.714285714,0,0.530172414,1,0.428571429,0.5,19.9,0.62,48,326.36,81.59,772.5,all_scores_ESS50,4.919084301,81.59,2505
SEG31,all_scores_ESS50_SEG31,SCH,SEG31,15,3,SEG36,1,0.538461538,0.472222222,0.312169312,0.69047619,0,0.551724138,0.769957214,0.75,0.5,32.44,4.68,45,321.06,80.27,756.86,all_scores_ESS50,4.960010616,80.27,2505
SEG32,all_scores_ESS50_SEG32,SCH,SEG32,10,3,SEG38,0.875,0.692307692,0.373626374,0.269406393,0.714285714,0,0.530172414,1,0.428571429,0.5,32.44,2.44,56,344.84,86.21,835.05,all_scores_ESS50,4.919084301,86.21,2505
