site_id,id,region,epid,measure_id,glz_class,epid_assigned,n_lepi,n_plant,n_red_list_lepi_pa,n_red_list_plant_pa,av_reg_dist_lepi_pa,av_reg_dist_plant_pa,sum_troph_int_pa,n_unique_int_pa,connectance_pa,z_score_nest_pa,sum_crops_pa,n_crop_pests_pa,sizemanagementunit_ha,slope,glz,oc_ha,oc_0.25ha,p_ha,optimisation,ecovalue,cost,budget
AEG21,connectance_pa_AEG21,ALB,AEG21,6,2,AEG23,0.11111,0.43333,0,0.28571,0,0.18571,0.20645,0,1,0.36939,0.46667,0.5,2.93,5.28,28,38.58,9.645,514.66,connectance_pa,1,9.645,1458
AEG22,connectance_pa_AEG22,ALB,AEG22,6,2,AEG23,0.11111,0.43333,0,0.28571,0,0.18571,0.20645,0,1,0.36939,0.46667,0.5,4.84,14.89,30,68.51,17.1275,537.71,connectance_pa,1,17.1275,1458
AEG23,connectance_pa_AEG23,ALB,AEG23,6,3,AEG23,0.11111,0.43333,0,0.28571,0,0.18571,0.20645,0,1,0.36939,0.46667,0.5,0.49,2.53,44,224.05,56.0125,668.72,connectance_pa,1,56.0125,1458
AEG24,connectance_pa_AEG24,ALB,AEG24,6,2,AEG23,0.11111,0.43333,0,0.28571,0,0.18571,0.20645,0,1,0.36939,0.46667,0.5,1.88,4.86,32,99.25,24.8125,559.95,connectance_pa,1,24.8125,1458
AEG25,connectance_pa_AEG25,ALB,AEG25,6,2,AEG23,0.11111,0.43333,0,0.28571,0,0.18571,0.20645,0,1,0.36939,0.46667,0.5,22.06,17.17,34,130.78,32.695,581.39,connectance_pa,1,32.695,1458
AEG26,connectance_pa_AEG26,ALB,AEG26,12,1,AEG47,0.83333,0.83333,0.83333,0.42857,0.65882,0.57778,1,0,0.64851,0.66035,0,1,1.4,23.34,19,647.77,161.9425,-380.8,connectance_pa,0.648513991078153,161.9425,1458
AEG27,connectance_pa_AEG27,ALB,AEG27,6,1,AEG23,0.11111,0.43333,0,0.28571,0,0.18571,0.20645,0,1,0.36939,0.46667,0.5,2.21,10.49,17,15.19,3.7975,373.56,connectance_pa,1,3.7975,1458
AEG30,connectance_pa_AEG30,ALB,AEG30,6,2,AEG23,0.11111,0.43333,0,0.28571,0,0.18571,0.20645,0,1,0.36939,0.46667,0.5,1.37,11.29,32,99.25,24.8125,559.95,connectance_pa,1,24.8125,1458
AEG31,connectance_pa_AEG31,ALB,AEG31,6,1,AEG23,0.11111,0.43333,0,0.28571,0,0.18571,0.20645,0,1,0.36939,0.46667,0.5,4.28,14.27,22,17.92,4.48,440.71,connectance_pa,1,4.48,1458
AEG36,connectance_pa_AEG36,ALB,AEG36,6,2,AEG23,0.11111,0.43333,0,0.28571,0,0.18571,0.20645,0,1,0.36939,0.46667,0.5,9.64,6.45,30,68.51,17.1275,537.71,connectance_pa,1,17.1275,1458
AEG37,connectance_pa_AEG37,ALB,AEG37,6,2,AEG23,0.11111,0.43333,0,0.28571,0,0.18571,0.20645,0,1,0.36939,0.46667,0.5,3.93,17.6,27,23.92,5.98,502.84,connectance_pa,1,5.98,1458
AEG38,connectance_pa_AEG38,ALB,AEG38,6,3,AEG23,0.11111,0.43333,0,0.28571,0,0.18571,0.20645,0,1,0.36939,0.46667,0.5,1.28,3.02,43,213.98,53.495,660.74,connectance_pa,1,53.495,1458
AEG39,connectance_pa_AEG39,ALB,AEG39,6,2,AEG23,0.11111,0.43333,0,0.28571,0,0.18571,0.20645,0,1,0.36939,0.46667,0.5,5.55,10.74,29,53.45,13.3625,526.29,connectance_pa,1,13.3625,1458
AEG40,connectance_pa_AEG40,ALB,AEG40,6,2,AEG23,0.11111,0.43333,0,0.28571,0,0.18571,0.20645,0,1,0.36939,0.46667,0.5,0.88,13.89,28,38.58,9.645,514.66,connectance_pa,1,9.645,1458
AEG41,connectance_pa_AEG41,ALB,AEG41,6,2,AEG23,0.11111,0.43333,0,0.28571,0,0.18571,0.20645,0,1,0.36939,0.46667,0.5,5.39,14.55,31,83.78,20.945,548.93,connectance_pa,1,20.945,1458
AEG42,connectance_pa_AEG42,ALB,AEG42,6,2,AEG23,0.11111,0.43333,0,0.28571,0,0.18571,0.20645,0,1,0.36939,0.46667,0.5,2.54,19.53,30,68.51,17.1275,537.71,connectance_pa,1,17.1275,1458
AEG43,connectance_pa_AEG43,ALB,AEG43,6,2,AEG23,0.11111,0.43333,0,0.28571,0,0.18571,0.20645,0,1,0.36939,0.46667,0.5,0.7,14.02,28,38.58,9.645,514.66,connectance_pa,1,9.645,1458
AEG44,connectance_pa_AEG44,ALB,AEG44,13,3,AEG46,0.22222,0.26667,0,0.14286,0.05229,0.12037,0.17419,0,0.56255,0.37067,0.5,0.5,1.16,24.71,36,742.37,185.5925,2.57,connectance_pa,0.562549485352336,185.5925,1458
AEG45,connectance_pa_AEG45,ALB,AEG45,6,3,AEG23,0.11111,0.43333,0,0.28571,0,0.18571,0.20645,0,1,0.36939,0.46667,0.5,1.55,7.55,40,184.75,46.1875,635.78,connectance_pa,1,46.1875,1458
AEG46,connectance_pa_AEG46,ALB,AEG46,6,2,AEG23,0.11111,0.43333,0,0.28571,0,0.18571,0.20645,0,1,0.36939,0.46667,0.5,5.44,14.48,30,68.51,17.1275,537.71,connectance_pa,1,17.1275,1458
AEG47,connectance_pa_AEG47,ALB,AEG47,12,1,AEG47,0.83333,0.83333,0.83333,0.42857,0.65882,0.57778,1,0,0.64851,0.66035,0,1,7.68,29.89,16,538.3,134.575,-380.8,connectance_pa,0.648513991078153,134.575,1458
AEG48,connectance_pa_AEG48,ALB,AEG48,6,1,AEG23,0.11111,0.43333,0,0.28571,0,0.18571,0.20645,0,1,0.36939,0.46667,0.5,7.68,18.05,18,15.75,3.9375,387.39,connectance_pa,1,3.9375,1458
