site_id,id,region,epid,measure_id,glz_class,epid_assigned,n_lepi,n_plant,av_reg_dist_lepi_pa,av_reg_dist_plant_pa,sum_troph_int_pa,n_unique_int_pa,connectance_pa,z_score_nest_pa,sum_crops_pa,n_crop_pests_pa,sizemanagementunit_ha,slope,glz,oc_ha,oc_0.25ha,p_ha,optimisation,ecovalue,cost,budget
SEG47,av_reg_dist_lepi_pa_SEG47,SCH,SEG47,11,3,SEG21,0.375,0.384615385,1,0.545131485,0.285714286,0,0.702586207,0,0.071428571,1,10.08,4.99,36,270.93,67.73,584.86,av_reg_dist_lepi_pa,1,67.73,3149
SEG48,av_reg_dist_lepi_pa_SEG48,SCH,SEG48,11,3,SEG21,0.375,0.384615385,1,0.545131485,0.285714286,0,0.702586207,0,0.071428571,1,42.2,1.02,37,278.8,69.7,616.13,av_reg_dist_lepi_pa,1,69.7,3149
SEG49,av_reg_dist_lepi_pa_SEG49,SCH,SEG49,13,1,SEG49,0.5,0.692307692,1,0.495798319,0.619047619,0,0.793103448,0.372971036,0.357142857,0.5,10.53,1.39,26,333.81,83.45,272.13,av_reg_dist_lepi_pa,1,83.45,3149
SEG1,av_reg_dist_plant_pa_SEG01,SCH,SEG01,7,3,SEG32,0.125,0.461538462,0.472222222,1,0.166666667,0,0.781609195,0.519370347,0,1,23,0.42,45,627.5,156.88,450.42,av_reg_dist_plant_pa,1,156.88,4738
SEG2,av_reg_dist_plant_pa_SEG02,SCH,SEG02,7,3,SEG32,0.125,0.461538462,0.472222222,1,0.166666667,0,0.781609195,0.519370347,0,1,45,0.06,47,648.44,162.11,450.42,av_reg_dist_plant_pa,1,162.11,4738
SEG3,av_reg_dist_plant_pa_SEG03,SCH,SEG03,7,3,SEG32,0.125,0.461538462,0.472222222,1,0.166666667,0,0.781609195,0.519370347,0,1,30.4,0.35,45,627.5,156.88,450.42,av_reg_dist_plant_pa,1,156.88,4738
SEG4,av_reg_dist_plant_pa_SEG04,SCH,SEG04,7,1,SEG32,0.125,0.461538462,0.472222222,1,0.166666667,0,0.781609195,0.519370347,0,1,71.5,0.35,24,173.33,43.33,370.24,av_reg_dist_plant_pa,1,43.33,4738
SEG5,av_reg_dist_plant_pa_SEG05,SCH,SEG05,7,3,SEG32,0.125,0.461538462,0.472222222,1,0.166666667,0,0.781609195,0.519370347,0,1,71.5,0.35,39,567.98,142,407.98,av_reg_dist_plant_pa,1,142,4738
SEG6,av_reg_dist_plant_pa_SEG06,SCH,SEG06,7,2,SEG32,0.125,0.461538462,0.472222222,1,0.166666667,0,0.781609195,0.519370347,0,1,28.57,0.16,33,153.67,38.42,558.93,av_reg_dist_plant_pa,1,38.42,4738
SEG8,av_reg_dist_plant_pa_SEG08,SCH,SEG08,7,3,SEG32,0.125,0.461538462,0.472222222,1,0.166666667,0,0.781609195,0.519370347,0,1,17.9,0.43,39,567.98,142,407.98,av_reg_dist_plant_pa,1,142,4738
SEG9,av_reg_dist_plant_pa_SEG09,SCH,SEG09,7,2,SEG32,0.125,0.461538462,0.472222222,1,0.166666667,0,0.781609195,0.519370347,0,1,42.2,0,34,187.26,46.81,582.51,av_reg_dist_plant_pa,1,46.81,4738
SEG10,av_reg_dist_plant_pa_SEG10,SCH,SEG10,7,3,SEG32,0.125,0.461538462,0.472222222,1,0.166666667,0,0.781609195,0.519370347,0,1,30.4,0.67,45,627.5,156.88,450.42,av_reg_dist_plant_pa,1,156.88,4738
SEG11,av_reg_dist_plant_pa_SEG11,SCH,SEG11,7,3,SEG32,0.125,0.461538462,0.472222222,1,0.166666667,0,0.781609195,0.519370347,0,1,30.4,0,40,615.28,153.82,422.13,av_reg_dist_plant_pa,1,153.82,4738
SEG12,av_reg_dist_plant_pa_SEG12,SCH,SEG12,7,3,SEG32,0.125,0.461538462,0.472222222,1,0.166666667,0,0.781609195,0.519370347,0,1,23,0.36,45,627.5,156.88,450.42,av_reg_dist_plant_pa,1,156.88,4738
SEG13,av_reg_dist_plant_pa_SEG13,SCH,SEG13,7,2,SEG32,0.125,0.461538462,0.472222222,1,0.166666667,0,0.781609195,0.519370347,0,1,8.46,0.65,32,153.39,38.35,535.35,av_reg_dist_plant_pa,1,38.35,4738
SEG14,av_reg_dist_plant_pa_SEG14,SCH,SEG14,7,3,SEG32,0.125,0.461538462,0.472222222,1,0.166666667,0,0.781609195,0.519370347,0,1,16.5,1.39,47,648.44,162.11,450.42,av_reg_dist_plant_pa,1,162.11,4738
SEG15,av_reg_dist_plant_pa_SEG15,SCH,SEG15,7,3,SEG32,0.125,0.461538462,0.472222222,1,0.166666667,0,0.781609195,0.519370347,0,1,71.5,0.6,39,567.98,142,407.98,av_reg_dist_plant_pa,1,142,4738
SEG16,av_reg_dist_plant_pa_SEG16,SCH,SEG16,7,3,SEG32,0.125,0.461538462,0.472222222,1,0.166666667,0,0.781609195,0.519370347,0,1,71.5,1.11,38,542.99,135.75,393.82,av_reg_dist_plant_pa,1,135.75,4738
SEG17,av_reg_dist_plant_pa_SEG17,SCH,SEG17,7,2,SEG32,0.125,0.461538462,0.472222222,1,0.166666667,0,0.781609195,0.519370347,0,1,28.57,0.68,33,153.67,38.42,558.93,av_reg_dist_plant_pa,1,38.42,4738
SEG19,av_reg_dist_plant_pa_SEG19,SCH,SEG19,7,3,SEG32,0.125,0.461538462,0.472222222,1,0.166666667,0,0.781609195,0.519370347,0,1,51.6,0.12,40,615.28,153.82,422.13,av_reg_dist_plant_pa,1,153.82,4738
SEG20,av_reg_dist_plant_pa_SEG20,SCH,SEG20,7,2,SEG32,0.125,0.461538462,0.472222222,1,0.166666667,0,0.781609195,0.519370347,0,1,19,0.82,32,153.39,38.35,535.35,av_reg_dist_plant_pa,1,38.35,4738
SEG21,av_reg_dist_plant_pa_SEG21,SCH,SEG21,7,2,SEG32,0.125,0.461538462,0.472222222,1,0.166666667,0,0.781609195,0.519370347,0,1,8.3,0.55,32,153.39,38.35,535.35,av_reg_dist_plant_pa,1,38.35,4738
SEG22,av_reg_dist_plant_pa_SEG22,SCH,SEG22,7,3,SEG32,0.125,0.461538462,0.472222222,1,0.166666667,0,0.781609195,0.519370347,0,1,33.67,0.26,50,653.84,163.46,464.59,av_reg_dist_plant_pa,1,163.46,4738
SEG23,av_reg_dist_plant_pa_SEG23,SCH,SEG23,7,3,SEG32,0.125,0.461538462,0.472222222,1,0.166666667,0,0.781609195,0.519370347,0,1,43.4,0.18,37,515.24,128.81,379.69,av_reg_dist_plant_pa,1,128.81,4738
SEG24,av_reg_dist_plant_pa_SEG24,SCH,SEG24,7,3,SEG32,0.125,0.461538462,0.472222222,1,0.166666667,0,0.781609195,0.519370347,0,1,58.69,0.72,37,515.24,128.81,379.69,av_reg_dist_plant_pa,1,128.81,4738
SEG25,av_reg_dist_plant_pa_SEG25,SCH,SEG25,7,2,SEG32,0.125,0.461538462,0.472222222,1,0.166666667,0,0.781609195,0.519370347,0,1,8.98,0.98,35,457.53,114.38,351.38,av_reg_dist_plant_pa,1,114.38,4738
SEG26,av_reg_dist_plant_pa_SEG26,SCH,SEG26,7,2,SEG32,0.125,0.461538462,0.472222222,1,0.166666667,0,0.781609195,0.519370347,0,1,43.4,0.31,34,187.26,46.81,582.51,av_reg_dist_plant_pa,1,46.81,4738
SEG28,av_reg_dist_plant_pa_SEG28,SCH,SEG28,7,3,SEG32,0.125,0.461538462,0.472222222,1,0.166666667,0,0.781609195,0.519370347,0,1,19.9,0.96,48,648.44,162.11,450.42,av_reg_dist_plant_pa,1,162.11,4738
SEG29,av_reg_dist_plant_pa_SEG29,SCH,SEG29,7,3,SEG32,0.125,0.461538462,0.472222222,1,0.166666667,0,0.781609195,0.519370347,0,1,19.9,0.62,48,648.44,162.11,450.42,av_reg_dist_plant_pa,1,162.11,4738
SEG31,av_reg_dist_plant_pa_SEG31,SCH,SEG31,7,3,SEG32,0.125,0.461538462,0.472222222,1,0.166666667,0,0.781609195,0.519370347,0,1,32.44,4.68,45,627.5,156.88,450.42,av_reg_dist_plant_pa,1,156.88,4738
SEG32,av_reg_dist_plant_pa_SEG32,SCH,SEG32,7,3,SEG32,0.125,0.461538462,0.472222222,1,0.166666667,0,0.781609195,0.519370347,0,1,32.44,2.44,56,701.15,175.29,478.74,av_reg_dist_plant_pa,1,175.29,4738
SEG33,av_reg_dist_plant_pa_SEG33,SCH,SEG33,7,3,SEG32,0.125,0.461538462,0.472222222,1,0.166666667,0,0.781609195,0.519370347,0,1,8.17,3.55,37,515.24,128.81,379.69,av_reg_dist_plant_pa,1,128.81,4738
SEG34,av_reg_dist_plant_pa_SEG34,SCH,SEG34,7,3,SEG32,0.125,0.461538462,0.472222222,1,0.166666667,0,0.781609195,0.519370347,0,1,27.76,8.09,37,515.24,128.81,379.69,av_reg_dist_plant_pa,1,128.81,4738
SEG35,av_reg_dist_plant_pa_SEG35,SCH,SEG35,7,3,SEG32,0.125,0.461538462,0.472222222,1,0.166666667,0,0.781609195,0.519370347,0,1,27.76,2.47,40,615.28,153.82,422.13,av_reg_dist_plant_pa,1,153.82,4738
SEG36,av_reg_dist_plant_pa_SEG36,SCH,SEG36,7,3,SEG32,0.125,0.461538462,0.472222222,1,0.166666667,0,0.781609195,0.519370347,0,1,6.56,3.33,36,490.27,122.57,365.52,av_reg_dist_plant_pa,1,122.57,4738
SEG37,av_reg_dist_plant_pa_SEG37,SCH,SEG37,7,1,SEG32,0.125,0.461538462,0.472222222,1,0.166666667,0,0.781609195,0.519370347,0,1,18.16,4.37,21,150.54,37.63,299.49,av_reg_dist_plant_pa,1,37.63,4738
SEG38,av_reg_dist_plant_pa_SEG38,SCH,SEG38,7,2,SEG32,0.125,0.461538462,0.472222222,1,0.166666667,0,0.781609195,0.519370347,0,1,3.32,2.1,34,187.26,46.81,582.51,av_reg_dist_plant_pa,1,46.81,4738
SEG39,av_reg_dist_plant_pa_SEG39,SCH,SEG39,7,2,SEG32,0.125,0.461538462,0.472222222,1,0.166666667,0,0.781609195,0.519370347,0,1,11.76,1.74,34,187.26,46.81,582.51,av_reg_dist_plant_pa,1,46.81,4738
SEG40,av_reg_dist_plant_pa_SEG40,SCH,SEG40,7,1,SEG32,0.125,0.461538462,0.472222222,1,0.166666667,0,0.781609195,0.519370347,0,1,16.62,3.88,25,180.92,45.23,393.82,av_reg_dist_plant_pa,1,45.23,4738
SEG41,av_reg_dist_plant_pa_SEG41,SCH,SEG41,7,3,SEG32,0.125,0.461538462,0.472222222,1,0.166666667,0,0.781609195,0.519370347,0,1,8.11,0.98,39,567.98,142,407.98,av_reg_dist_plant_pa,1,142,4738
SEG42,av_reg_dist_plant_pa_SEG42,SCH,SEG42,7,2,SEG32,0.125,0.461538462,0.472222222,1,0.166666667,0,0.781609195,0.519370347,0,1,10.93,4.01,29,211.29,52.82,488.19,av_reg_dist_plant_pa,1,52.82,4738
SEG43,av_reg_dist_plant_pa_SEG43,SCH,SEG43,7,1,SEG32,0.125,0.461538462,0.472222222,1,0.166666667,0,0.781609195,0.519370347,0,1,9.72,2.82,23,165.73,41.43,346.66,av_reg_dist_plant_pa,1,41.43,4738
SEG46,av_reg_dist_plant_pa_SEG46,SCH,SEG46,7,3,SEG32,0.125,0.461538462,0.472222222,1,0.166666667,0,0.781609195,0.519370347,0,1,3.34,1.67,41,601.12,150.28,436.29,av_reg_dist_plant_pa,1,150.28,4738
SEG47,av_reg_dist_plant_pa_SEG47,SCH,SEG47,7,3,SEG32,0.125,0.461538462,0.472222222,1,0.166666667,0,0.781609195,0.519370347,0,1,10.08,4.99,36,490.27,122.57,365.52,av_reg_dist_plant_pa,1,122.57,4738
SEG48,av_reg_dist_plant_pa_SEG48,SCH,SEG48,7,3,SEG32,0.125,0.461538462,0.472222222,1,0.166666667,0,0.781609195,0.519370347,0,1,42.2,1.02,37,515.24,128.81,379.69,av_reg_dist_plant_pa,1,128.81,4738
SEG49,av_reg_dist_plant_pa_SEG49,SCH,SEG49,7,1,SEG32,0.125,0.461538462,0.472222222,1,0.166666667,0,0.781609195,0.519370347,0,1,10.53,1.39,26,188.52,47.13,417.42,av_reg_dist_plant_pa,1,47.13,4738
SEG1,connectance_pa_SEG01,SCH,SEG01,12,3,SEG37,0.625,0.923076923,0.277173913,0.545131485,1,0,0.850574713,0.760381053,0.714285714,0.5,23,0.42,45,813.41,203.35,264.51,connectance_pa,0.850574712643678,203.35,6699
SEG2,connectance_pa_SEG02,SCH,SEG02,12,3,SEG37,0.625,0.923076923,0.277173913,0.545131485,1,0,0.850574713,0.760381053,0.714285714,0.5,45,0.06,47,834.35,208.59,264.51,connectance_pa,0.850574712643678,208.59,6699
SEG3,connectance_pa_SEG03,SCH,SEG03,12,3,SEG37,0.625,0.923076923,0.277173913,0.545131485,1,0,0.850574713,0.760381053,0.714285714,0.5,30.4,0.35,45,813.41,203.35,264.51,connectance_pa,0.850574712643678,203.35,6699
SEG4,connectance_pa_SEG04,SCH,SEG04,12,1,SEG37,0.625,0.923076923,0.277173913,0.545131485,1,0,0.850574713,0.760381053,0.714285714,0.5,71.5,0.35,24,284.39,71.1,259.18,connectance_pa,0.850574712643678,71.1,6699
SEG5,connectance_pa_SEG05,SCH,SEG05,12,3,SEG37,0.625,0.923076923,0.277173913,0.545131485,1,0,0.850574713,0.760381053,0.714285714,0.5,71.5,0.35,39,711.45,177.86,264.51,connectance_pa,0.850574712643678,177.86,6699
SEG6,connectance_pa_SEG06,SCH,SEG06,12,2,SEG37,0.625,0.923076923,0.277173913,0.545131485,1,0,0.850574713,0.760381053,0.714285714,0.5,28.57,0.16,33,448.09,112.02,264.51,connectance_pa,0.850574712643678,112.02,6699
SEG8,connectance_pa_SEG08,SCH,SEG08,12,3,SEG37,0.625,0.923076923,0.277173913,0.545131485,1,0,0.850574713,0.760381053,0.714285714,0.5,17.9,0.43,39,711.45,177.86,264.51,connectance_pa,0.850574712643678,177.86,6699
SEG9,connectance_pa_SEG09,SCH,SEG09,12,2,SEG37,0.625,0.923076923,0.277173913,0.545131485,1,0,0.850574713,0.760381053,0.714285714,0.5,42.2,0,34,505.26,126.32,264.51,connectance_pa,0.850574712643678,126.32,6699
SEG10,connectance_pa_SEG10,SCH,SEG10,12,3,SEG37,0.625,0.923076923,0.277173913,0.545131485,1,0,0.850574713,0.760381053,0.714285714,0.5,30.4,0.67,45,813.41,203.35,264.51,connectance_pa,0.850574712643678,203.35,6699
SEG11,connectance_pa_SEG11,SCH,SEG11,12,3,SEG37,0.625,0.923076923,0.277173913,0.545131485,1,0,0.850574713,0.760381053,0.714285714,0.5,30.4,0,40,772.9,193.23,264.51,connectance_pa,0.850574712643678,193.23,6699
SEG12,connectance_pa_SEG12,SCH,SEG12,12,3,SEG37,0.625,0.923076923,0.277173913,0.545131485,1,0,0.850574713,0.760381053,0.714285714,0.5,23,0.36,45,813.41,203.35,264.51,connectance_pa,0.850574712643678,203.35,6699
SEG13,connectance_pa_SEG13,SCH,SEG13,12,2,SEG37,0.625,0.923076923,0.277173913,0.545131485,1,0,0.850574713,0.760381053,0.714285714,0.5,8.46,0.65,32,424.23,106.06,264.51,connectance_pa,0.850574712643678,106.06,6699
SEG14,connectance_pa_SEG14,SCH,SEG14,12,3,SEG37,0.625,0.923076923,0.277173913,0.545131485,1,0,0.850574713,0.760381053,0.714285714,0.5,16.5,1.39,47,834.35,208.59,264.51,connectance_pa,0.850574712643678,208.59,6699
SEG15,connectance_pa_SEG15,SCH,SEG15,12,3,SEG37,0.625,0.923076923,0.277173913,0.545131485,1,0,0.850574713,0.760381053,0.714285714,0.5,71.5,0.6,39,711.45,177.86,264.51,connectance_pa,0.850574712643678,177.86,6699
SEG16,connectance_pa_SEG16,SCH,SEG16,12,3,SEG37,0.625,0.923076923,0.277173913,0.545131485,1,0,0.850574713,0.760381053,0.714285714,0.5,71.5,1.11,38,672.3,168.07,264.51,connectance_pa,0.850574712643678,168.07,6699
SEG17,connectance_pa_SEG17,SCH,SEG17,12,2,SEG37,0.625,0.923076923,0.277173913,0.545131485,1,0,0.850574713,0.760381053,0.714285714,0.5,28.57,0.68,33,448.09,112.02,264.51,connectance_pa,0.850574712643678,112.02,6699
SEG19,connectance_pa_SEG19,SCH,SEG19,12,3,SEG37,0.625,0.923076923,0.277173913,0.545131485,1,0,0.850574713,0.760381053,0.714285714,0.5,51.6,0.12,40,772.9,193.23,264.51,connectance_pa,0.850574712643678,193.23,6699
SEG20,connectance_pa_SEG20,SCH,SEG20,12,2,SEG37,0.625,0.923076923,0.277173913,0.545131485,1,0,0.850574713,0.760381053,0.714285714,0.5,19,0.82,32,424.23,106.06,264.51,connectance_pa,0.850574712643678,106.06,6699
