site_id,id,region,epid,measure_id,glz_class,epid_assigned,n_lepi,n_plant,av_reg_dist_lepi_pa,av_reg_dist_plant_pa,sum_troph_int_pa,n_unique_int_pa,connectance_pa,z_score_nest_pa,sum_crops_pa,n_crop_pests_pa,sizemanagementunit_ha,slope,glz,oc_ha,oc_0.25ha,p_ha,optimisation,ecovalue,cost,budget
SEG22,all_scores_ESS25_SEG22,SCH,SEG22,12,3,SEG37,0.625,0.923076923,0.277173913,0.545131485,1,0,0.850574713,0.760381053,0.714285714,0.5,33.67,0.26,50,853.92,213.48,264.51,all_scores_ESS25,5.284909516,213.48,6699
SEG23,all_scores_ESS25_SEG23,SCH,SEG23,12,3,SEG37,0.625,0.923076923,0.277173913,0.545131485,1,0,0.850574713,0.760381053,0.714285714,0.5,43.4,0.18,37,630.42,157.61,264.51,all_scores_ESS25,5.284909516,157.61,6699
SEG24,all_scores_ESS25_SEG24,SCH,SEG24,12,3,SEG37,0.625,0.923076923,0.277173913,0.545131485,1,0,0.850574713,0.760381053,0.714285714,0.5,58.69,0.72,37,630.42,157.61,264.51,all_scores_ESS25,5.284909516,157.61,6699
SEG25,all_scores_ESS25_SEG25,SCH,SEG25,12,2,SEG37,0.625,0.923076923,0.277173913,0.545131485,1,0,0.850574713,0.760381053,0.714285714,0.5,8.98,0.98,35,544.4,136.1,264.51,all_scores_ESS25,5.284909516,136.1,6699
SEG26,all_scores_ESS25_SEG26,SCH,SEG26,12,2,SEG37,0.625,0.923076923,0.277173913,0.545131485,1,0,0.850574713,0.760381053,0.714285714,0.5,43.4,0.31,34,505.26,126.32,264.51,all_scores_ESS25,5.284909516,126.32,6699
SEG28,all_scores_ESS25_SEG28,SCH,SEG28,12,3,SEG37,0.625,0.923076923,0.277173913,0.545131485,1,0,0.850574713,0.760381053,0.714285714,0.5,19.9,0.96,48,834.35,208.59,264.51,all_scores_ESS25,5.284909516,208.59,6699
SEG29,all_scores_ESS25_SEG29,SCH,SEG29,12,3,SEG37,0.625,0.923076923,0.277173913,0.545131485,1,0,0.850574713,0.760381053,0.714285714,0.5,19.9,0.62,48,834.35,208.59,264.51,all_scores_ESS25,5.284909516,208.59,6699
SEG31,all_scores_ESS25_SEG31,SCH,SEG31,12,3,SEG37,0.625,0.923076923,0.277173913,0.545131485,1,0,0.850574713,0.760381053,0.714285714,0.5,32.44,4.68,45,813.41,203.35,264.51,all_scores_ESS25,5.284909516,203.35,6699
SEG32,all_scores_ESS25_SEG32,SCH,SEG32,12,3,SEG37,0.625,0.923076923,0.277173913,0.545131485,1,0,0.850574713,0.760381053,0.714285714,0.5,32.44,2.44,56,915.38,228.84,264.51,all_scores_ESS25,5.284909516,228.84,6699
SEG33,all_scores_ESS25_SEG33,SCH,SEG33,12,3,SEG37,0.625,0.923076923,0.277173913,0.545131485,1,0,0.850574713,0.760381053,0.714285714,0.5,8.17,3.55,37,630.42,157.61,264.51,all_scores_ESS25,5.284909516,157.61,6699
