region,epid,abund_lepi,abund_plant,n_lepi,n_plant,n_spp,n_red_list_lepi_pa,n_red_list_plant_pa,n_red_list_pa,av_threat_lepi_pa,av_threat_plant_pa,av_threat_pa,sum_threat_lepi_pa,sum_threat_plant_pa,sum_threat_pa,av_reg_dist_lepi_pa,av_reg_dist_plant_pa,n_low_reg_dist_lepi_pa,n_low_reg_dist_plant_pa,n_low_reg_dist_pa,sum_troph_int_pa,n_unique_int_pa,n_crop_pests_pa,sum_crops_pa,av_crops_pa,n_spp_multidiv,n_red_list_multidiv,sum_threat_multidiv,n_low_reg_dist_multidiv,cwm_n_red_list_plant,cwm_n_red_list_lepi,cwm_av_threat_plant,cwm_av_threat_lepi,cwm_av_reg_dist_plant,cwm_av_reg_dist_lepi,cwm_n_low_reg_dist_plant,cwm_n_low_reg_dist_lepi,cwm_n_crop_pest,cwm_av_crops,connectance_pa,obs_nest_pa,final_nest_pa,z_score_nest_pa
ALB,AEG46,17,180,6,24,30,0,1,1,0,0.33,0.16,0,0.33,0.33,54,72,0,2,2,30,0,1,15,8,0.82174,0.14286,0.12268,0.18182,0.01367,0,0.00451,0,74.77495,53.38494,0.02734,0,0.10369,1.55539,0.20833,51.98413,2.38946,0.38215
ALB,AEG47,52,111,17,41,58,10,3,13,0.52,0.17,0.34,5.19,0.51,5.7,30,60,11,7,18,158,0,0,0,0,1.7413,1.2619,1.18959,1.48252,0.06767,0.52765,0.01263,0.26503,62.29807,33.28519,0.11302,0.56431,0,0,0.22669,58.53483,6.18279,2.0326
ALB,AEG48,112,73,12,33,45,8,7,15,0.48,0.31,0.4,3.86,2.19,6.05,26,52,8,9,17,43,2,0,7,7,1.31739,1.66667,1.55786,1.43357,0.11626,0.75347,0.04333,0.31697,57.64282,23.54414,0.14642,0.75347,0,0.43144,0.10859,45.4806,2.82683,0.52981
ALB,AEG49,115,110,16,38,54,8,2,10,0.36,0.25,0.3,2.86,0.5,3.36,34,66,8,3,11,101,0,0,7,7,1.62609,0.95238,0.73693,0.88811,0.02427,0.44682,0.00607,0.12638,67.88333,36.74941,0.0364,0.4812,0,0.31209,0.16612,57.06266,9.85877,2.48378
SCH,SEG01,8,40,5,9,14,0,1,1,0,0.17,0.09,0,0.17,0.17,93,71,0,0,0,18,0,1,21,7,1.11806,0.5,0.25373,0,0.0426,0,0.00724,0,77.07169,93.73456,0,0,0.15818,3.73998,0.4,78,10.88889,1.02763
SCH,SEG02,3,30,3,10,13,0,0,0,0,0,0,0,0,0,94,73,0,0,0,2,0,0,4,2,0.95833,0,0,0,0,0,0,0,76.61077,93.66667,0,0,0,1.33333,0.06667,NA,NA,NA
SCH,SEG03,8,16,5,12,17,0,1,1,0,0.17,0.09,0,0.17,0.17,93,70,0,0,0,15,0,0,2,2,1.30556,0.5,0.25373,0,0.04613,0,0.00784,0,70.13532,92.44412,0,0,0,0.46928,0.25,63.66667,0.51985,0.04326
SCH,SEG04,12,73,4,7,11,0,1,1,0,0.17,0.09,0,0.17,0.17,92,77,0,0,0,7,0,1,12,4,0.88194,0.5,0.25373,0,0.08121,0,0.01381,0,74.27483,93.05031,0,0,0.14804,2.59216,0.25,50,1.44728,0.10709
SCH,SEG05,4,39,3,8,11,0,1,1,0,0.17,0.09,0,0.17,0.17,94,74,0,0,0,8,0,1,19,10,0.83333,0.5,0.25373,0,0.09435,0,0.01604,0,80.03912,93.39471,0,0,0.27894,5.29992,0.33333,44.44444,-15.94928,-0.74284
SCH,SEG06,13,116,4,10,14,0,1,1,0,0.17,0.09,0,0.17,0.17,94,68,0,0,0,11,0,0,2,2,1.06944,0.5,0.25373,0,0.02581,0,0.00439,0,74.82978,93.8776,0,0,0,0.6328,0.275,59.25926,-1.59604,-0.11147
